ID,Song,Artist,Genre,TopSongs
,The Best Is Yry to Come,Frank Sinatra,Adult Contemperary,
,To all The Girls I've Loved Before,Julio Iglesius,Adult Contemperary,
,Angel Eyes,Jeff Healey,S Dance,
,As Time Goes By,Tony Bennett,Adult Contemporary,
,Beautiful U R,Brenda Cox,M Dance,
,Behind Closed Doors,Charlie Rich,S Country,
,Best I Ever Had,Drake,Hip Hop,
,Bird Dance,Emeralds,Special,
,Black Cars,Gino Vanelli,F Dance,
,Blue Velvet,Bobby Vinton,Adult Contemporary,
,Bootylicious,Destiny's Child,F Dance,
,Bop,Dan Seals,F Country,
,Buffalo Stance,Neneh Cherry,F Dance,
,Bye Bye Bye,N'Sync,M Dance,
,Careless Whisper,Wham,S Dance,
,Caribbean Queen,Billy Ocean,M Dance,
,Can I Have This Dance,Anne Murray,S Dance,
,Crying Over You,Platinum Blonde,F Dance,
,Dance With Me,Johnny Reid,S Country,
,Dollar Wine,Byron Lee,Reagae,
,Don't Be Cruel,Elvis,60s,
,Don't Be Stupid,Shania Twain,F Country,
,Don't Cha,Pussycat Dolls,M Dance,
,Electric Avenue,Eddy Grant,M Dance,
,Everybody Everybody,Black Box,F Dance,
,Everybody Salsa,Chocolate,F Dance,
,Express Yourself,Madonna,F Dance,
,Follow The Leader,Soca Boys,F Dance,
,Good Vibrations,Marky Mark,F Dance,
,Green Green Grass of Home,Tom Jones,Adult Contemporary,
,Here Comes The High Stepper,Ini Komoze,M Dance,
,Holly Jolly Christmas,Burl Ives,Christmas,
,I Just Called To Say I Love You,Stevie Wonder,S Dance,
,I Love Rock and Roll,Joan Jett,F Rock,
,I Think We're Alone Now,Tiffany,F Dance,
,I Walk The Line,Johnny Cash,F Country,
,I Will Survive,Gloria Gaynor,Disco,
,I'll Always Be There,Roch Voisin,S Dance,
,In My Daughters Eyes,Martina McBride,S Country,
,White Christmas,Bing Crosby,Christmas,
,Its My Life,Talk Talk,M Dance,
,I've Been Thinking About You,London Beat,M Dance,
,Jump and Wave,Byron Lee,F Dance,
,Keep Your Hands To Yourself,Georgia Satelittes,F Rock,
,Ketchup Song,Las Ketchup,F Dance,
,Lambada,Kaoma,F Dance,
,Last Waltz,Engelburt Humperdinck,Adult Contemporary,
,Let The Music Play,Shannon,F Dance,
,Let Your Backbone Slide,Maestroe Fresh Wes,Rap,
,Let's Dance,David Bowie,M Dance,
,Lightning Crashes,Live,S Dance,
,Little Red Corvette,Prince,M Dance,
,Living In America,James Brown,F Dance,
,Looking For A New Love,Jody Watley,F Dance,
,Love Is All Around,Wet Wet Wet,S Dance,
,Turn Me Loose,Loverboy,M Rock,
,Miami,Will Smith,M Dance,
,Money Maker,Ludicris,Rap,
,Monster Mash,Bobby Pickett,Specialty,
,Thriller,Michael Jackson,F Dance,
,Montego Bay,Amazulu,M Dance,
,Moon River,Andy Williams,Adult Contemporary,
,More Than Words,Extreme,S Dance,
,Mr. Vain,Culture Beat,F Dance,
,We Built This City,Starship,F Dance,
,Life is Life,Opus,M Dance,
,Right Here Waiting For You,Richard Marx,S Dance,
,Obsession,Animotion,F Dance,
,Only Time,Enya,S Dance,
,West End Girls,Pet Shop Boys,M Dance,
,Orinoco Flow,Enya,S Dance,
,Peggy Sue,Buddy Holly,60s,
,Please Don't Go,K.W.S,M Dance,
,Real Wild Child,Iggy Pop,F Dance,
,Realize,Colbie Calliat,S Dance,
,Red Red Wine,UB 40,S Dance,
,Reggae Nights,Jimmy Cliff,F Dance,
,Roam,B-52s,F Dance,
,Rock The Casbah,Clash,M Dance,
,Rock This Party,Rob Sinclair,F Dance,
,Seven Nation Army,White Stripes,F Rock,
,Shake Ya Tailfeather,Nelly and P. Diddy,Hip Hop,
,Show Me Love,Robin S,F Dance,
,Splish Splash,Bobby Darin,60s,
,Stardust,Artie Shaw,Big Band,
,Stayed Until 2,Gord Bamford,F Country,
,Step By Step,New Kids On The Block,F Dance,
,Strike It Up,Black Box,F Dance,
,Summer Nights,Olivia Newton John,F Dance,
,Sunglasses At Night,Corey Hart,F Dance,
,Surf City,Jan and Dean,60s,
,Sweat,Inner Circle,Reggae,
,S'Wonderful,Diana Krall,Dinner,
,Take The A Train,Duke Ellington,Big Band,
,Taking Care of Business,BTO,F Rock,
,Talking In Your Sleep,Romantics,F Dance,
,In The Night,Laura Branigan,M Dance,
,Gloria,Laura Branigan,F Dance,
,Tears In Heaven,Eric Clapton,S Dance,
,Tenderness,General Public,F Dance,
,The Heat Is On,Glenn Frey,F Dance,
,The Hustle,Van McCoy,Disco,
,The Look of Love,Diana Krall,Dinner,
,The Sign,Ace of Base,M Dance,
,There's A Tear In My Beer,Hank Williams Jr.,F Country,
,This Is How We Do It,Montel Jordan,M Dance,
,Thunderstruck,AC/DC,F Rock,
,To All The Girls I've Loved Before,Julio Iglesias and Willie Nelson,Adult Contemporary,
,Total Eclipse of The Heart,Bonnie Tyler,M Rock,
,Twistin By The Pool,Dire Straits,F Rock,
,Twistin the Night Away,Sam Cooke,60s,
,Two Princes,Spin Doctors,F Rock,
,Volare,Gypsy Kings,F Dance,
,Walk of Life,Dire Straits,F Dance,
,Walking On Sunshine,Katrina and the Waves,F Dance,
,We Got The Beat,Go Go's,F Dance,
,We Like to Party,Vengaboys,F Dance,
,We're Not Gonna Take It,Twisted Sister,F Rock,
,What You Waiting For,Gwen Stefani,F Dance,
,When I Grow Up,Pussycat Dolls,F Dance,
,When Doves Cry,Prince,M Dance,
,Wilbury Twist,Travelling Wilburys,F Rock,
,Word Up,Cameo,M Dance,
,Would I Lie To You,Eurythmics,F Dance,
,You Really Got Me,Kinks,F Rock,
,You Keep Me Hanging On,Kim Wilde,F Dance,
,You Should be Dancing,Bee Gees,Disco,
,Walk Like An Egyptian,Bangles,F Dance,
,Another You,Armin Van Buren and Mr.Probz,F Dance,
,Before My Glory,Bunji Carlin,Reggae,
,Runaway With Me,Carly Rae Jepson,F Dance,
,Just A little Bit,Destra,F Dance,
,Again,Fetty Wap,S Dance,
,"I Don't Like It,I Love It",Flo rida and Robin Thicke,F Dance,
,Love Myself,Hailee Steinfeld,F Dance,
,No Apology,Kerwin Du Bois,Reggae,
,Ah Feeling,Lead Pipe and Saddis,Reggae,
,Feelings,Maroon 5,F Dance,
,Drag Me Down,One Direction,F Dance,
,A little Wine,Patrice Roberts,Reggae,
,One Love,"Shaggy,Gene Noble and  Pitbull",F Dance,
,Bring It Back,Shy Center and  Aleva Craft,F Dance,
,Trans Am,Thompson Square,F Country,
,B.Y.H.B Bring Your Hot Body,Uncle Ezra Ray,M Dance,
,The Night,"2LAU,Nom de Strip and Estelle",F Dance,
,For a Better Day,Avicii,M Dance,
,Music to My Soul,Cee Lo Green,F Dance,
,Vaiven,Daddy Yankee,Reggae,
,Confident,Demi Lovato,M Dance,
,Cool For The Summer,Demi Lovato,F Dance,
,Omen,Disclosure and Sam Smith,F Dance,
,Drake,Hotline Bling,Hip Hop,
,Ocean Drive,Duke Dumont,F Dance,
,Valet,Eric Bollinger. Fetty Wap and 2 Chainz,F Dance,
,Feeling Grows,Fridge Magnets,F Dance,
,Hello,Hedley,F Dance,
,Here For You,Kygo and Ella Henderson,F Dance,
,Downtown,Macklemore and Ryan Lewis,F Dance,
,Levels,Nick Jonas,F Dance,
,Fight Song,Rachel Paltten,F Dance,
,Lay It all on Me,Rudimental and Ed Sheeran,M Dance,
,Same Old Love,Selena Gomez,M Dance,
,Cruel For You,Selena Gomez,M Dance,
,Lush Life,Zara Larsson,F Dance,
,Focus,Ariande Grande,M Dance,
,Renegade Runaway,Carrie Underwood,F Country,
,2 Heads,Coleman Hell,F Dance,
,Perfect,One Direction,M Dance,
,California,Tim McGraw and Big n Rich,M Country,
,Hello,Adele,S Dance,
,What Do You Mean,Justin Bieber,F Dance,
,Sorry,Justin Bieber,F Dance,
,Can't Feel My Face,The Weeknd,F Dance,
,Thinking Out Loud,Ed Sheeran,S Dance,
,Earned It,The Weeknd,M Dance,
,I Don't Want  to Go to Bed,Simply Plan and Nelly,M Dance,
,Lean On,Major Lazor and DJ Sanke faeturing Mo,M Dance,
,Life's Like You Make it,New Electric,M Dance,
,Catch,Allie true,M Dance,
,On My Mind,Ellie Goulding,M Dance,
,Locked Away,R. City featuring Adam Levine,M Dance,
,Hula Hoop,OMI,M Dance,
,Hideaway,Daya,M Dance,
,That Sweater,Scott Helman,F Dance,
,Exes and Ohs,Elle King,F Dance,
,A Part of Me,Katie Perry,F Dance,
,Let's Get Loud,Jennifer Lopez,F Dance,
,Unforgetable,Nat King Cole,Adult Contemporary,
,Stars on 45,Stars on 45,F Dance,
,The Way You Make Me Feel,Michael Jackson,F Dance,
,You and Me,Lifehouse,S Dance,
,Clap Your Hands,Beaumonts,60s,
,The Dance,Garth Brooks,S Country,
,Guitars and Cadillacs,Dwight Yoakam,M Country,
,Disco Inferno,Tramps,Disco,
,Born To Be Alive,Patrick Hernandez,Disco,
,That's The Way I like It,KC and  the Sunshine Band,Disco,
,Cupid Shuffle,Cupid,M Dance,
,Brick House,Commodores,M Dance,
,I Can't Help Myself,Four Tops,60s,
,It's Your Love,Tim McGraw and Faith Hill,S Country,
,A Part of Me,Katie Perry,F Dance,
,Beautiful Life,Ace of Base,F Dance,
,We No Speak Americano,Yolanda Be Cool vs Dcup,F Dance,
,Tic Tok,Keisha,F Dance,
,Just a Dream,Nelly,M Dance,
,Poison,Bel Biv Devoe,M Dance,
,"Truly,Madly,Deeply",Savage Garden,S Dance,
,Because You Loved Me,Celion Dion,S Dance,
,Wannabe,Spice Girls,M Dance,
,Big Time,Peter Gabriel,M Dance,
,Sledgehammer,Peter Gabriel,M Dance,
,Another One Bites The Dust,Queen,M Dance,
,Super Freak,Rick James,M Dance,
,You Dropped a Bomb on Me,Gap Band,F Dance,
,Downunder,Men At Work,M Dance,
,Safety Dance,Men Without Hats,M Dance,
,Take My Breath Away,Berlin,S Dance,
,Heaven,Bryan Adams,S Dance,
,ABC,Jackson 5,M Dance,
,Moondance,Van Morrison,S Dance,
,Superstition,Stevie Wonder,M Dance,
,Night Fever,Bee Gees,M Dance,
,Boogie Wonderland,"Earth,Wind and Fire",Disco,
,Start Me Up,Rolling Stones,M Rock,
,All Right Now,Free,M Rock,
,Heart of Glass,Blondie,Disco,
,Do You Love Me,Contours,M Rock,
,Can't Take My Eyes Off of You,Frankie Valli,S Dance,
,When I'm 64,Beatles,60s,
,Happy Together,Turtles,60s,
,Crazy,Patsy Cline,S Dance,
,You Can't Hurry Love,Supremes,60s,
,I'm A Believer,Monkees,60s,
,Proud Mary,CCR,M Rock,
,Hey Jude,Beatles,60s,
,Chapel of Love,Dixie Cups,60s,
,Honky Tonk Woman,Rolling Stones,M Rock,
,Under The Boardwalk,Drifters,60s,
,These Arms of Mine,Otis Redding,60s,
,Dance To The Music,Sly and Family Stone,60s,
,Folsom Prison Blues,Johnny Cash,F Country,
,Louie Louie,Kinsman,60s,
,Gimme Some Lovin,Spencer Davis,60s,
,Chances Are,Johnny Mathis,Adult Contemporary,
,Paul Anka,Put Your Head on my Shoulder,S Dance,
,Don't Be Cruel,Elvis,60s,
,Animals,Maroon 5,F Dance,
,Hey Jude,Beatles,S Dance,
,Your Song,Elton John,S Dance,
,Save the Best for Last,Instrumental,Wedding,
,"Jesu,Joy of Man's desiring",Instrumental,Wedding,
,Ava Maria,Schubert,Wedding,
,Sheep May Safely Graze,Instrumental,Wedding,
,Pachelbel's Canon,Pachelbel,Wedding,
,Bridal March from Lohengrin,Instrumental,Wedding,
,O Perfect Love,Instrumental,Wedding,
,Finale of Ode to Joy,Instrumental,Wedding,
,When I Fall in Love,Sleepless in Seattle,Wedding,
,Everything I do for you,Robin Hood,Wedding,
,Forever In Love,Instrumental,Wedding,
,Vangelis' Hymn,Vangelis,Wedding,
,"One Hand,One Heart",West Side Story,Wedding,
,The Wedding Song,Instrumental,Wedding,
,Happy Birthday,unknown,Specialty,
,The Look of Love,Diana Krall,dinner,
,I've Got You Under My Skin,Diana Krall,dinner,
,It Came Upon A Midnight Clear,John Tesh,Christmas,
,Silent Night,John Tesh,Christmas,
,Home For the Holidays,Perry Como,Christmas,
,Jingle Bell Rock,Jim Reeves,Christmas,
,Rocking Around The Christmas Tree,Brenda Lee,Christmas,
,Sleigh Ride,Carpenters,Christmas,
,Everything,Michaal Buble,Dinner,
,I've Got the World On a String,Diana Krall,Dinner,
,The Girl From Ipanema,Frank Sinatra,Dinner,
,Boplicity,Miles Davis,Dinner,
,Round Midnight,Thelonius Monk,Dinner,
,Call Me Irrisistable,Tony Bennett,Dinner,
,Sway,Dean Martin,Adult Contemporary,
,Blue Moon,Billie Halliday,Dinner,
,Heartplace,Stan Getz,Dinner,
,This Guy's in Love with you,Richard Clayderman,Dinner,
,End of the Night,Kenny G,Dinner,
,Forever In Love,Kenny G,Dinner,
,Cecilia,Simon and Garfunkle,60s,
,I Got You Babe,Sonny and Cher,M Dance,
,Do You Believe In Love,Cher,F Dance,
,Unchained Melody,Righteous Brothers,S Dance,
