ID,Song,Artist,Genre,TopSongs
,My Best Friend,Tim McGraw,S Country,true
,Take On Me,A-ha,F Dance,true
,Safe and Sound,Capital Cities,M Dance,true
,Then,Brad Paisley,S Country,true
,What Makes You Beautiful,One Direction,F Dance,true
,All Summer Long,Kid Rock,M Rock,true
,Photograph,Kid Rock,S Dance,true
,Red Red Wine,UB40,S Dance,true
,Jammin,Bob Marley,Reggae,true
,Hot Hot Hot,Arrow,F Dance,true
,Holiday,Madonna,F Dance,true
,Lucky Star,Madonna,M Dance,true
,Tik Tock,Kesha,F Dance,true
,Sexual Healing,Marvin Gaye,S Dance,true
,I Heard It Through The Grape Vine,Marvin Gaye,M Dance,true
,When A Man Loves A Woman,Percy Sledge,S Dance,true
,Counting Stars,One Republic,F Dance,true
,Feel This Moment,Pitbull and Christina Aguilera,F Dance,true
,Run Around Sue,Dion,60s,true
,"Honey,I'm Good",Andy Grammer,F Dance,true
,Jumping Jack Flash,Rolling Stones,F Rock,true
,Jack and Diane,John Mellencamp,M Rock,true
,Push It,Salt N Peppa,F Dance,true
,Locomotion,Kylie Minolue,F Dance,true
,We Are Family,Sister Sledge,Disco,true
,Dancing in the Dark,Bruce Springsteen,F Dance,true
,Bad Moon Rising,CCR,M Rock,true
,Rolling In The Deep,Adele,M Dance,true
,Play That Funky Music,Wild Cherry,M Dance,true
,Don't Rock The Jukebox,Alan Jackson,M Country,true
,One Last Time,Ariana Grande,M Dance,true
,Problem,Ariana Grande,F Dance,true
,Boom Clap,Charlie XCX,M Dance,true
,I Don't Care,Charlie XCX,F Dance,true
,Summertime,Daddy Yankee,F Dance,true
,Sexy Chick,David Guetta,F Dance,true
,Ed Sheeran,Photograph,S Dance,true
,Ellie Golding,Love Me Like You Do,M Dance,true
,Monster,Eminem and Rihanna,M Dance,true
,Can't Help Falling In Love With You,Elvis,S Dance,true
,Funkytown,Lipps Inc,F Dance,true
,Uma Thurman,Fall Out Boy,F Rock,true
,Trap Queen,Fetty Wap,Hip Hop,true
,Check Yes or No,George Strait,S Country,true
,End of the World,Great Big Sea,Celtic,true
,Tainted Love,Softcell,M Dance,true
,Marimac,Great Big Sea,Celtic,true
,Call Me Maybe,Carly Rae Jepson,F Dance,true
,Girls Just Want to Have Fun,Cyndi Lauper,M Dance,true
,Wiggle,Jason Derulo,Hip Hop,true
,Making Memories of Us,Keith Urban,S  Country,true
,She Thinks My Tractors Sexy,Kenny Chesney,F Country,true
,Rude,Magic,S Dance,true
,Wonderwall,Oasis,S Rock,true
,Cheerleader,OMI,F Dance,true
,Chicken Fried,Zac Brown Band,M Country,true
,The Stripper,Peter Rose,Wedding,true
,Blurred Lines,Robin Thicke,M Dance,true
,Hips Don't Lie,Shakira,M Dance,true
,Blank Space,Taylor Swift,M Dance,true
,Earned It,The Weeknd,R & B,true
,Talking Body,Tove Lo,Hip Hop,true
,Renegades,true Ambassadors,M Rock,true
,Lady In Red,Chris De Burgh,S Dance,true
,The Hills,The Weeknd,Hip Hop,true
,Rhythm Divine,Enrique Iglesius,S Dance,
,Shout,Tears For Fears,M Dance,
,U2,One,S Dance,
,U2,Mysterious Ways,M Dance,
,I'm Glad You Came,Wanted,F Dance,
,I Lived,One Republic,F Dance,
,1999,Prince,M Dance,
,Bruce Springsteen,Eric Church,M Country,
,Legs,ZZ Top,F Rock,
,Sharp Dressed Man,ZZ Top,F Rock,
,Joe Cocker,You Can Leave Your Hat On,S Rock,
,The Best,Tina Turner,M Dance,
,Sugar Sugar,Archies,Wedding,
,On The Dark Side,John Cafferty,F Rock,
,Thank God I'm A Country Boy,John Denver,F Country,
,Come With Me know,Kongos,F Dance,
,Ring Of Fire,Johnny Cash,F Country,
,Hound Dog,Elvis,60s,
,You Spin Me Round,Dead Or Alive,F Dance,
,Hurts So Good,John Mellencamp,M Rock,
,All Shook Up,Elvis,60s,
,Stairway to Heaven,Led Zeppelin,S Rock,
,Call Me,Blondie,Disco,
,All Night Long,Lionel Ritchie,M Dance,
,Vogue,Madonna,F Dance,
,Paradie By the Dashboard Light,Meatloaf,F Dance,
,Conga,Miami Sound Machine,F Dance,
,Step By Step,New Kids On the Block,F Dance,
,Bizarre Love Triangle,New Order,F Dance,
,We're Here For A Good Time,Trooper,M Rock,
,In The Air Tonight,Phil Collins,S Dance,
,Don't Cha,Pussy Cat Dolls,F Dance,
,I Don't Want to Dance,Scissor Sisters,M Dance,
,REM,Shiney Happy People,M Rock,
,Together Forever,Randy Travis,M Country,
,Pump up the Jam,MARS,M Dance,
,Smooth,Santana,M Rock,
,Temperature,Sean Paul,F Dance,
,Up,Shania Twain,F Country,
,Don't You,Simple Minds,M Dance,
,Style,Taylor Swift,M Dance,
,Take Me To Church,Hozier,F Dance,
,The Night Paddy Murphy Died,Great Big Sea,Celtic,
,Glory Days,Bruce Springsteen,M Rock,
,Rock N Me,Steve Miller,M Rock,
,Life Is A Highway,Tom Cochrane,M Rock,
,Wake Me Up,Wham,F Dance,
,Somebody to love Me,Whitney Houston,M Dance,
,Excited,Pointer Sisters,F Dance,
,Theme From Godfather,Andy Williams,Dinner,
,Manic Monday,Bangles,M Dance,
,Wasn't That A Party,Irish Rovers,M Dance,
,Copacabana,Barry Manilow,F Dance,
,"You're my First,Last,Everything",Barry White,Disco,
,Surfin USA,Beach Boys,60s,
,Kokomo,Beach Boys,M Dance,
,Medley,Beatles,60s,
,On A SlowBoat to China,Benny Goodman,Big Band,
,WhiteWedding,Billy Idol,F Dance,
,I'll Never Fall In Love Again,Carpenters,Adult Contemporary,
,Devil Went Down To Georgia,Charlie Daniel's Band,F Country,
,Stroke it,Clarence Carter,M Dance,
,Soak Up The Sun,Sheryl Crow,M Dance,
,Do You Really Want to Hurt Me,Culture Club,M Dance,
,China Girl,David Bowie,M Dance,
,Motown Song,Rod Stewart,M Dance,
,Personal Jesus,Depeche Mode,M Dance,
,Macarthur Park,Donna Summer,Disco,
,Hotel California,Eagles,S Rock,
,September,"Earth,Wind and Fire",Disco,
,I Don't Want to Dance,Eddie Grant,M Dance,
,Crocodile Rock,Elton John,F Dance,
,Can You Feel the Love Tonight,Elton John,S Dance,
,Sweet Dreams,Eurythmics,M Dance,
,That'll Be the Day,Buddy Holly,60s,
,I Ran,Flock of Seagulls,F Dance,
,My Girl,Temptations,60s,
,Bambolero,Gypsy Kings,F Dance,
,I Will Survive,Gloria Gaynor,Disco,
,Knock On Wood,Amil Stewart,Disco,
,Early Morning Rain,Gordon Lightfoot,Dinner,
,Maneater,Hall and Oates,M Dance,
,Sexy Thing,Hot Chocolate,Disco,
,Heart of Rock n Roll,Huey Lewis,M Dance,
,New Sensation,INXS,F Dance,
,Centerfold,J. Geils Band,M Dance,
,This is What it Feels Like,Armin Van Hammer,F Dance,
,Let's  Go,Calvin Harris,F Dance,
,Wagon Wheel,Darius Rucker,F Country,
,Turn Me On,David Guetta and Nicki Minaj,F Dance,
,Winter Wonderland,Michael Buble,Christmas,
,Silver Bells,Michael Buble,Christmas,
,I Will Wait,Mumford and Sons,M Rock,
,LOVE,Nat King Cole,Adult Contemporary,
,Promiscuous,Nelly Furtado,M Dance,
,Do It Right,Nelly Furtado,M Dance,
,Raise Your Glass,Pink,F Dance,
,So What,Pink,F Dance,
,Let's Get This Party Started,Pink,F Dance,
,Disturbia,Rihanna,F Dance,
,Fire Burning,Sean Kingston,F Dance,
,Come and Get It,Selena Gomez,M Dance,
,The Way I Are,Timbaland,M Dance,
,Baby One More Time,Britney Spears,F Dance,
,Crazy,Britney Spears,F Dance,
,Smack That,Eminem and Akon,Hip Hop,
,Try,Blue Rodeo,S Dance,
,Gonna Make You Sweat,C and C Music Factory,F Dance,
,Mr. Jones,Counting Crows,M Rock,
,We Belong Together,Mariah Carey,S Dance,
,Wonderful Tonight,Eric Clapton,S Dance,
,My Heart Will Go On,Celine Dion,S Dance,
,Hundry Like The Wolf,Duran Duran,M Dance,
,Lady Marmalade,Christina Aguilera,M Dance,
,Candle In The Wind,Elton John,S Dance,
,Lose My Breath,Destiny's Child,F Dance,
,Roadhouse Blues,Doors,M Rock,
,Low,Flo Rida,F Dance,
,Just The Way You Are,Billy Joel,S Dance,
,Faithfully,Journey,S Dance,
,Waiting For Tonight,Jennifer Lopez,F Dance,
,Party In The USA,Miley Cyrus,M Dance,
,Living the Viva Loca,Ricky Martin,F Dance,
,Hey  Yah,Outkast,F Dance,
,Brown Sugar,Rolling Stones,M Rock,
,Only Girl In The World,Rihanna,F Dance,
,Have I Told You Lately,Rod Stewart,S Dance,
,Hollaback Girl,Gwen Stefani,M Dance,
,One Bourbon One Scotch One Beer,George Thorogood,F Rock,
,Bad To The Bone,George Thorogood,M Rock,
,Funky Cold Medina,Tone Loc,M Dance,
,Better Be Good To Me,Tina Turner,M Dance,
,New Orleans Is Sinking,Tragically Hip,M Rock,
,Break Your Heart,Tiao Cruz,F Dance,
,Cotton Eye Joe,Rednex,F Dance,
,What Is Love,Haddaway,F Dance,
,Stuck In The Middle With You,Stealers Wheel,M Rock,
,Ballroom Blitz,Sweet,F Rock,
,Raise A Little Hell,Trooper,F Rock,
,Tubthumping,Chumbawumba,M Dance,
,Song 21,Blur,M Rock,
,Oh Ya,Yellow,M Rock,
,Come On Eileen,Dexy's Midnight Runners,M Rock,
,Closing Time,Semisonic,M Rock,
,American Pie,Don Mclean,M Rock,
,Missing,Everything But the Girl,F Dance,
,A Girl Like You,Edwin Collins,M Dance,
,Bombastic,Shaggy,M Dance,
,Spice Up Your Life,Spice Girls,F Dance,
,Barbie Girl,Aqua,F Dance,
,All My Life,K-Ci and Jojo,S Dance,
,All For You,Janet Jackson,M Dance,
,Can't Get You Out of My Head,Kylie Minolgue,F Dance,
,Crazy,Gnarls Barkley,M Dance,
,Dance Dance,Fall Out Boy,F Rock,
,Big Black Horse,K.T. Tunstall,M Dance,
,Home,Michael Buble,Dinner,
,Where No One Know My Name,Jann Arden,M Dance,
,Good Girl Is So Bad,Cobra Starship,F Dance,
,Evacuate The Dance Floor,Cascada,F Dance,
,Heaven,DJ  Sammy,F Dance,
,Relax,Frankie Goes To Hollywood,F Dance,
,Teenage Dream,Katy Perry,F Dance,
,At Last,Etta James,Adult Contemporary,
,Bumpy Ride,Mohambi,Reggae,
,Tonight (I'm Loving You),Enrique Iglesius,F Dance,
,Beautiful Day,U2,M Rock,
,More,Usher,F Dance,
,G6,Far East Movement,M Dance,
,Beer In Mexico,Kenny Chesney,M Country,
,Black And Yellow,Wiz Khalifa and  Snoop,Hip Hop,
,OMG,Usher,F Dance,
,International Love,Chris Brown,F Dance,
,Super Bass,Nicki Minaj,Hip Hop,
,Escapade,Janet Jackson,M Dance,
,Someone Like You,Adele,S Dance,
,Under The Boardwalk,Otis Redding,60s,
,Marry You,Bruno Mars,S Dance,
,Story of Us,Taylor Swift,F Dance,
,Pumped Up For Kicks,Foster The People,M Dance,
,Last Night,Ian Carey and Snoop,F Dance,
,Wagon Wheel,Old Crow Medicine Show,M Country,
,Love You Like A Love Song,Selena Gomez,F Dance,
,Shots,LMFAO,M Dance,
